150
5,20
5,18
5,3
5,7
5,10
5,2
5,9
5,15
5,6
5,19
5,14
5,11
5,8
5,12
5,17
13,20
13,18
13,3
13,7
13,10
13,2
13,9
13,15
13,6
13,19
13,14
13,11
13,8
13,12
13,17
1,20
1,18
1,3
1,7
1,10
1,2
1,9
1,15
1,6
1,19
1,14
1,11
1,8
1,12
1,17
4,20
4,18
4,3
4,7
4,10
4,2
4,9
4,15
4,6
4,19
4,14
4,11
4,8
4,12
4,17
16,20
16,18
16,3
16,7
16,10
16,2
16,9
16,15
16,6
16,19
16,14
16,11
16,8
16,12
16,17
20,2
20,9
20,15
20,6
20,19
20,14
20,11
20,8
20,12
20,17
18,2
18,9
18,15
18,6
18,19
18,14
18,11
18,8
18,12
18,17
3,2
3,9
3,15
3,6
3,19
3,14
3,11
3,8
3,12
3,17
7,2
7,9
7,15
7,6
7,19
7,14
7,11
7,8
7,12
7,17
10,2
10,9
10,15
10,6
10,19
10,14
10,11
10,8
10,12
10,17
2,14
2,11
2,8
2,12
2,17
9,14
9,11
9,8
9,12
9,17
15,14
15,11
15,8
15,12
15,17
6,14
6,11
6,8
6,12
6,17
19,14
19,11
19,8
19,12
19,17
