127
48,45
48,96
45,116
45,108
96,65
96,71
116,68
116,9
108,91
108,15
65,75
65,61
71,34
71,79
68,20
68,18
9,7
9,55
91,103
91,107
15,16
15,11
75,46
75,73
61,43
61,47
34,53
34,78
79,101
79,115
20,72
20,110
18,13
18,66
7,87
7,27
55,67
55,38
103,74
103,14
107,88
107,10
16,124
16,12
11,41
11,31
46,99
46,22
73,86
73,35
43,118
43,127
47,122
47,28
53,3
53,4
78,2
78,82
101,106
101,33
115,52
115,62
72,57
72,42
110,63
110,80
13,114
13,100
66,70
66,125
87,83
87,117
27,126
27,105
67,17
67,19
38,95
38,44
74,54
74,92
14,51
14,93
88,23
88,120
10,69
10,32
124,76
124,121
12,77
12,102
41,29
41,111
31,84
31,24
99,112
99,40
22,109
22,64
86,37
86,25
35,60
35,98
118,30
118,58
127,21
127,56
122,36
122,90
28,97
28,113
3,5
3,49
4,39
4,81
2,6
2,123
82,8
82,89
106,104
106,26
33,119
33,50
52,85
52,94
62,59
62,1
